Region;Type de production;Puissance cumulee;Nombre installations;Geo Point;Code region;code typeProd;Fin de trimestre
Languedoc-Roussillon Midi-Pyrenees;Autres;102.84;17;43.702436341, 2.14469549983;76;600;2016-06-30
Aquitaine Limousin Poitou-Charentes;Bio energie;84.07;41;45.2060329806, 0.213682432817;75;400;2016-06-30
Languedoc-Roussillon Midi-Pyrenees;Hydraulique;429.29;579;43.702436341, 2.14469549983;76;300;2016-06-30
Auvergne Rhone-Alpes;Hydraulique;451.55;459;45.514684747, 4.53658962401;84;300;2016-06-30
Pays de la Loire;Autres;8.51;2;47.477963366, -0.81657983416;52;600;2016-06-30
Pays de la Loire;Eolien;684.29;117;47.477963366, -0.81657983416;52;200;2016-06-30
Bretagne;Autres;90.21;18;48.1700856903, -2.84301849546;53;600;2016-06-30
Centre-Val de Loire;Cogeneration;102.38;29;47.4847992665, 1.68510931296;24;500;2016-06-30
Centre-Val de Loire;Eolien;663.5;72;47.4847992665, 1.68510931296;24;200;2016-06-30
Bourgogne Franche-Comte;Autres;57.77;10;47.2343259051, 4.80741109091;27;600;2016-06-30
Bourgogne Franche-Comte;Bio energie;34.77;39;47.2343259051, 4.80741109091;27;400;2016-06-30
Bourgogne Franche-Comte;Hydraulique;80.61;189;47.2343259051, 4.80741109091;27;300;2016-06-30
Normandie;Autres;77.96;11;49.1203330852, 0.110020840062;28;600;2016-06-30
Normandie;Photovoltaique;119.37;12942;49.1203330852, 0.110020840062;28;100;2016-06-30
Nord-Pas-de-Calais Picardie;Eolien;2339.08;270;49.9699454427, 2.77194462298;32;200;2016-06-30
Alsace Champagne-Ardenne Lorraine;Cogeneration;186.93;54;48.6888920841, 5.6138840413;44;500;2016-06-30
Alsace Champagne-Ardenne Lorraine;Hydraulique;111.36;263;48.6888920841, 5.6138840413;44;300;2016-06-30
Alsace Champagne-Ardenne Lorraine;Photovoltaique;256.31;24109;48.6888920841, 5.6138840413;44;100;2016-06-30
Provence-Alpes-Cote d'Azur;Eolien;29.77;16;43.9575890702, 6.06569381585;93;200;2016-06-30
Centre-Val de Loire;Autres;0.0;0;47.4847992665, 1.68510931296;24;600;2016-06-30
